composer,title,npy_file_path,file_size,length_in_measures,sample_rate,use
Bach,038100b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/038100b_.npy,23,15,,
Bach,026200b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/026200b_.npy,25,16,,
Bach,037000b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/037000b_.npy,14,9,,
Bach,043500b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/043500b_.npy,18,12,,
Bach,016907b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/016907b_.npy,25,16,,
Bach,066500b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/066500b_.npy,81,52,,t
Bach,024817b2,Dataset/classifier/Bach/Bwv001- 400 Chorales/024817b2.npy,14,9,,
Bach,041600b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/041600b_.npy,20,13,,
Bach,012905b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/012905b_.npy,54,35,,
Bach,033500bv,Dataset/classifier/Bach/Bwv001- 400 Chorales/033500bv.npy,14,9,,
Bach,014505b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/014505b_.npy,28,18,,v
Bach,024440b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/024440b_.npy,26,17,,
Bach,024462bv,Dataset/classifier/Bach/Bwv001- 400 Chorales/024462bv.npy,26,17,,
Bach,041100b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/041100b_.npy,26,17,,
Bach,069400b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/069400b_.npy,142,91,,
Bach,011106b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/011106b_.npy,32,21,,
Bach,006507b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/006507b_.npy,31,20,,
Bach,036000b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/036000b_.npy,26,17,,
Bach,024846b5,Dataset/classifier/Bach/Bwv001- 400 Chorales/024846b5.npy,20,13,,
Bach,036200b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/036200b_.npy,61,39,,
Bach,022902b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/022902b_.npy,43,28,,
Bach,Bwv003.6v,Dataset/classifier/Bach/Bwv001- 400 Chorales/Bwv003.6v.npy,14,9,,
Bach,024526b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/024526b_.npy,26,17,,
Bach,015305b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/015305b_.npy,26,17,,
Bach,015309b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/015309b_.npy,25,16,,
Bach,035400b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/035400b_.npy,25,16,,
Bach,032600b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/032600b_.npy,26,17,,
Bach,025900b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/025900b_.npy,18,12,,
Bach,031400b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/031400b_.npy,17,11,,
Bach,025200b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/025200b_.npy,26,17,,
Bach,007903bs,Dataset/classifier/Bach/Bwv001- 400 Chorales/007903bs.npy,47,30,,
Bach,019705b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/019705b_.npy,23,15,,
Bach,Bwv008.6,Dataset/classifier/Bach/Bwv001- 400 Chorales/Bwv008.6.npy,31,20,,
Bach,037400b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/037400b_.npy,31,20,,
Bach,Bwv018a.5,Dataset/classifier/Bach/Bwv001- 400 Chorales/Bwv018a.5.npy,28,18,,
Bach,024446b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/024446b_.npy,18,12,,
Bach,065400b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/065400b_.npy,201,129,,
Bach,036700b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/036700b_.npy,20,13,,
Bach,Bwv030.6v,Dataset/classifier/Bach/Bwv001- 400 Chorales/Bwv030.6v.npy,29,19,,
Bach,066800b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/066800b_.npy,40,26,,
Bach,060800b_ ,Dataset/classifier/Bach/Bwv001- 400 Chorales/060800b_ .npy,57,37,,
Bach,034000b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/034000b_.npy,40,26,,
Bach,076901b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/076901b_.npy,42,27,,
Bach,027000b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/027000b_.npy,26,17,,
Bach,066300b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/066300b_.npy,198,127,,
Bach,029100b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/029100b_.npy,18,12,,
Bach,040100b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/040100b_.npy,25,16,,
Bach,009207b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/009207b_.npy,57,37,,
Bach,024417b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/024417b_.npy,26,17,,
Bach,024537b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/024537b_.npy,26,17,,
Bach,064700b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/064700b_.npy,78,50,,
Bach,040700b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/040700b_.npy,42,27,,
Bach,007011b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/007011b_.npy,20,13,,
Bach,011506b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/011506b_.npy,22,14,,
Bach,014706b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/014706b_.npy,111,71,,
Bach,026700b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/026700b_.npy,34,22,,
Bach,064500b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/064500b_.npy,117,75,,
Bach,031500b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/031500b_.npy,28,18,,
Bach,036300b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/036300b_.npy,18,12,,
Bach,017507b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/017507b_.npy,45,29,,
Bach,031100b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/031100b_.npy,37,24,,
Bach,Bwv004.8v,Dataset/classifier/Bach/Bwv001- 400 Chorales/Bwv004.8v.npy,26,17,,
Bach,024417bv,Dataset/classifier/Bach/Bwv001- 400 Chorales/024417bv.npy,26,17,,
Bach,009709b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/009709b_.npy,22,14,,
Bach,011606b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/011606b_.npy,22,14,,
Bach,027800b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/027800b_.npy,26,17,,
Bach,024415bv,Dataset/classifier/Bach/Bwv001- 400 Chorales/024415bv.npy,26,17,,
Bach,037100b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/037100b_.npy,64,41,,
Bach,024812b2,Dataset/classifier/Bach/Bwv001- 400 Chorales/024812b2.npy,26,17,,
Bach,042400b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/042400b_.npy,20,13,,
Bach,Bwv020.7,Dataset/classifier/Bach/Bwv001- 400 Chorales/Bwv020.7.npy,26,17,,
Bach,007011ch,Dataset/classifier/Bach/Bwv001- 400 Chorales/007011ch.npy,20,13,,
Bach,012506b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/012506b_.npy,20,13,,
Bach,017705b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/017705b_.npy,28,18,,
Bach,024864qt,Dataset/classifier/Bach/Bwv001- 400 Chorales/024864qt.npy,109,70,,
Bach,033200b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/033200b_.npy,14,9,,
Bach,026500b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/026500b_.npy,14,9,,
Bach,007807b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/007807b_.npy,25,16,,
Bach,031900b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/031900b_.npy,18,12,,
Bach,026300b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/026300b_.npy,18,12,,
Bach,026100b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/026100b_.npy,43,28,,
Bach,025000b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/025000b_.npy,23,15,,
Bach,032300b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/032300b_.npy,17,11,,
Bach,109100b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/109100b_.npy,53,34,,
Bach,027400b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/027400b_.npy,14,9,,
Bach,Bwv026.6,Dataset/classifier/Bach/Bwv001- 400 Chorales/Bwv026.6.npy,17,11,,
Bach,Bwv004.8,Dataset/classifier/Bach/Bwv001- 400 Chorales/Bwv004.8.npy,26,17,,
Bach,017906b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/017906b_.npy,25,16,,
Bach,Bwv007.7,Dataset/classifier/Bach/Bwv001- 400 Chorales/Bwv007.7.npy,29,19,,
Bach,016406b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/016406b_.npy,23,15,,
Bach,024310b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/024310b_.npy,57,37,,
Bach,030800b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/030800b_.npy,23,15,,
Bach,015408b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/015408b_.npy,20,13,,
Bach,004803b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/004803b_.npy,17,11,,
Bach,025800b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/025800b_.npy,23,15,,
Bach,013703b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/013703b_.npy,173,111,,
Bach,004705b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/004705b_.npy,17,11,,
Bach,051000b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/051000b_.npy,56,36,,
Bach,006206b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/006206b_.npy,12,8,,
Bach,066200b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/066200b_.npy,84,54,,
Bach,007607b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/007607b_.npy,53,34,,
Bach,043100b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/043100b_.npy,15,10,,
Bach,065600b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/065600b_.npy,239,153,,
Bach,038800b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/038800b_.npy,23,15,,
Bach,064600b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/064600b_.npy,53,34,,
Bach,010806b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/010806b_.npy,22,14,,
Bach,Bwv024.6,Dataset/classifier/Bach/Bwv001- 400 Chorales/Bwv024.6.npy,42,27,,
Bach,040400b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/040400b_.npy,14,9,,
Bach,007206b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/007206b_.npy,31,20,,
Bach,012606b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/012606b_.npy,43,28,,
Bach,030300b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/030300b_.npy,25,16,,
Bach,035600b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/035600b_.npy,43,28,,
Bach,033100b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/033100b_.npy,23,15,,
Bach,028200b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/028200b_.npy,31,20,,
Bach,041800b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/041800b_.npy,26,17,,
Bach,025100b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/025100b_.npy,23,15,,
Bach,004606bs,Dataset/classifier/Bach/Bwv001- 400 Chorales/004606bs.npy,29,19,,
Bach,025600b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/025600b_.npy,23,15,,
Bach,017807b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/017807b_.npy,23,15,,
Bach,039400b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/039400b_.npy,20,13,,
Bach,029800b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/029800b_.npy,17,11,,
Bach,035900b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/035900b_.npy,25,16,,
Bach,035500b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/035500b_.npy,25,16,,
Bach,064900b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/064900b_.npy,92,59,,
Bach,015301b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/015301b_.npy,23,15,,
Bach,041300b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/041300b_.npy,62,40,,
Bach,076904b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/076904b_.npy,65,42,,
Bach,070100b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/070100b_.npy,42,27,,
Bach,034800b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/034800b_.npy,26,17,,
Bach,Bwv006.3,Dataset/classifier/Bach/Bwv001- 400 Chorales/Bwv006.3.npy,156,100,,
Bach,005505b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/005505b_.npy,26,17,,
Bach,Bwv031.9,Dataset/classifier/Bach/Bwv001- 400 Chorales/Bwv031.9.npy,25,16,,
Bach,026800b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/026800b_.npy,18,12,,
Bach,033900b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/033900b_.npy,28,18,,
Bach,017507ch,Dataset/classifier/Bach/Bwv001- 400 Chorales/017507ch.npy,45,29,,
Bach,024842bs,Dataset/classifier/Bach/Bwv001- 400 Chorales/024842bs.npy,43,28,,
Bach,018506b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/018506b_.npy,28,18,,
Bach,024517b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/024517b_.npy,18,12,,
Bach,009106ch,Dataset/classifier/Bach/Bwv001- 400 Chorales/009106ch.npy,17,11,,
Bach,011909b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/011909b_.npy,34,22,,
Bach,005206b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/005206b_.npy,23,15,,
Bach,026000b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/026000b_.npy,23,15,,
Bach,024429bb,Dataset/classifier/Bach/Bwv001- 400 Chorales/024429bb.npy,20,13,,
Bach,060800qt ,Dataset/classifier/Bach/Bwv001- 400 Chorales/060800qt .npy,57,37,,
Bach,009307b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/009307b_.npy,25,16,,
Bach,009606b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/009606b_.npy,23,15,,
Bach,032500b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/032500b_.npy,26,17,,
Bach,038700b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/038700b_.npy,14,9,,
Bach,008506b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/008506b_.npy,23,15,,
Bach,041700b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/041700b_.npy,26,17,,
Bach,007903b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/007903b_.npy,97,62,,
Bach,039100b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/039100b_.npy,34,22,,
Bach,031800b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/031800b_.npy,20,13,,
Bach,015403b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/015403b_.npy,25,16,,
Bach,009709ch,Dataset/classifier/Bach/Bwv001- 400 Chorales/009709ch.npy,20,13,,
Bach,032800b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/032800b_.npy,167,107,,
Bach,039300b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/039300b_.npy,20,13,,
Bach,Bwv036(2).4,Dataset/classifier/Bach/Bwv001- 400 Chorales/Bwv036(2).4.npy,32,21,,
Bach,028700b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/028700b_.npy,26,17,,
Bach,027600b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/027600b_.npy,47,30,,
Bach,017606b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/017606b_.npy,29,19,,
Bach,006408b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/006408b_.npy,29,19,,
Bach,Bwv013.6,Dataset/classifier/Bach/Bwv001- 400 Chorales/Bwv013.6.npy,20,13,,
Bach,042500b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/042500b_.npy,40,26,,
Bach,022701b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/022701b_.npy,29,19,,
Bach,024540b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/024540b_.npy,45,29,,
Bach,017106b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/017106b_.npy,72,46,,
Bach,024835b3,Dataset/classifier/Bach/Bwv001- 400 Chorales/024835b3.npy,18,12,,
Bach,038000b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/038000b_.npy,20,13,,
Bach,040900b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/040900b_.npy,17,11,,
Bach,Bwv014.5,Dataset/classifier/Bach/Bwv001- 400 Chorales/Bwv014.5.npy,23,15,,
Bach,Bwv002.6,Dataset/classifier/Bach/Bwv001- 400 Chorales/Bwv002.6.npy,25,16,,
Bach,005605b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/005605b_.npy,34,22,,
Bach,017206b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/017206b_.npy,32,21,,
Bach,004006b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/004006b_.npy,25,16,,
Bach,028100b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/028100b_.npy,14,9,,
Bach,012805b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/012805b_.npy,26,17,,
Bach,016506b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/016506b_.npy,14,9,,
Bach,019506b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/019506b_.npy,17,11,,
Bach,010207b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/010207b_.npy,20,13,,
Bach,036100b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/036100b_.npy,20,13,,
Bach,033000b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/033000b_.npy,20,13,,
Bach,016206b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/016206b_.npy,25,16,,
Bach,033500b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/033500b_.npy,14,9,,
Bach,024864bs,Dataset/classifier/Bach/Bwv001- 400 Chorales/024864bs.npy,26,17,,
Bach,009005b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/009005b_.npy,20,13,,
Bach,037800b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/037800b_.npy,26,17,,
Bach,014505bv,Dataset/classifier/Bach/Bwv001- 400 Chorales/014505bv.npy,28,18,,
Bach,016606b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/016606b_.npy,23,15,,
Bach,035100b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/035100b_.npy,15,10,,
Bach,066700b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/066700b_.npy,43,28,,
Bach,Bwv001.6,Dataset/classifier/Bach/Bwv001- 400 Chorales/Bwv001.6.npy,34,22,,
Bach,073800b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/073800b_.npy,25,16,,
Bach,027700b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/027700b_.npy,26,17,,
Bach,031700b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/031700b_.npy,43,28,,
Bach,Bwv017.7,Dataset/classifier/Bach/Bwv001- 400 Chorales/Bwv017.7.npy,72,46,,
Bach,066600b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/066600b_.npy,61,39,,
Bach,016106b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/016106b_.npy,28,18,,
Bach,027100b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/027100b_.npy,26,17,,
Bach,024809bs,Dataset/classifier/Bach/Bwv001- 400 Chorales/024809bs.npy,14,9,,
Bach,043400b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/043400b_.npy,25,16,,
Bach,030700b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/030700b_.npy,23,15,,
Bach,012106b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/012106b_.npy,26,17,,
Bach,024823bs,Dataset/classifier/Bach/Bwv001- 400 Chorales/024823bs.npy,14,9,,
Bach,006906ba,Dataset/classifier/Bach/Bwv001- 400 Chorales/006906ba.npy,23,15,,
Bach,007305b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/007305b_.npy,26,17,,
Bach,066100b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/066100b_.npy,143,92,,
Bach,014403b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/014403b_.npy,23,15,,
Bach,034300b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/034300b_.npy,47,30,,
Bach,031600b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/031600b_.npy,26,17,,
Bach,040400bv,Dataset/classifier/Bach/Bwv001- 400 Chorales/040400bv.npy,14,9,,
Bach,009408b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/009408b_.npy,26,17,,
Bach,024515B_,Dataset/classifier/Bach/Bwv001- 400 Chorales/024515B_.npy,26,17,,
Bach,035700b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/035700b_.npy,25,16,,
Bach,036800b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/036800b_.npy,51,33,,
Bach,032700b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/032700b_.npy,26,17,,
Bach,006906bav,Dataset/classifier/Bach/Bwv001- 400 Chorales/006906bav.npy,23,15,,
Bach,018405b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/018405b_.npy,31,20,,
Bach,037300b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/037300b_.npy,23,15,,
Bach,024514b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/024514b_.npy,25,16,,
Bach,029400b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/029400b_.npy,32,21,,
Bach,042800b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/042800b_.npy,25,16,,
Bach,009106b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/009106b_.npy,17,11,,
Bach,014806bv,Dataset/classifier/Bach/Bwv001- 400 Chorales/014806bv.npy,20,13,,
Bach,041000b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/041000b_.npy,22,14,,
Bach,024828b3,Dataset/classifier/Bach/Bwv001- 400 Chorales/024828b3.npy,17,11,,
Bach,027500b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/027500b_.npy,25,16,,
Bach,030000b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/030000b_.npy,26,17,,
Bach,003706b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/003706b_.npy,28,18,,
Bach,015105b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/015105b_.npy,17,11,,
Bach,024462b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/024462b_.npy,26,17,,
Bach,038600b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/038600b_.npy,26,17,,
Bach,039700b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/039700b_.npy,32,21,,
Bach,033400b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/033400b_.npy,25,16,,
Bach,027200b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/027200b_.npy,26,17,,
Bach,008107b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/008107b_.npy,29,19,,
Bach,024425b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/024425b_.npy,26,17,,
Bach,036500b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/036500b_.npy,22,14,,
Bach,030600b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/030600b_.npy,26,17,,
Bach,041900b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/041900b_.npy,26,17,,
Bach,008008b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/008008b_.npy,26,17,,
Bach,041500b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/041500b_.npy,26,17,,
Bach,Bwv012.7,Dataset/classifier/Bach/Bwv001- 400 Chorales/Bwv012.7.npy,23,15,,
Bach,015606b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/015606b_.npy,28,18,,
Bach,040200b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/040200b_.npy,39,25,,
Bach,032100b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/032100b_.npy,37,24,,
Bach,014007b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/014007b_.npy,81,52,,
Bach,004003b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/004003b_.npy,18,12,,
Bach,014907b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/014907b_.npy,42,27,,
Bach,040600b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/040600b_.npy,17,11,,
Bach,034100b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/034100b_.npy,15,10,,
Bach,037200b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/037200b_.npy,29,19,,
Bach,028000b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/028000b_.npy,29,19,,
Bach,006704b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/006704b_.npy,29,19,,
Bach,034900b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/034900b_.npy,25,16,,
Bach,034700b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/034700b_.npy,28,18,,
Bach,042300b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/042300b_.npy,25,16,,
Bach,Bwv033.6,Dataset/classifier/Bach/Bwv001- 400 Chorales/Bwv033.6.npy,36,23,,
Bach,Bwv019.7,Dataset/classifier/Bach/Bwv001- 400 Chorales/Bwv019.7.npy,56,36,,
Bach,031000b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/031000b_.npy,15,10,,
Bach,024842b4,Dataset/classifier/Bach/Bwv001- 400 Chorales/024842b4.npy,82,53,,
Bach,Bwv003.6,Dataset/classifier/Bach/Bwv001- 400 Chorales/Bwv003.6.npy,14,9,,
Bach,024505b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/024505b_.npy,20,13,,
Bach,Bwv029.8ch,Dataset/classifier/Bach/Bwv001- 400 Chorales/Bwv029.8ch.npy,70,45,,
Bach,006206bv,Dataset/classifier/Bach/Bwv001- 400 Chorales/006206bv.npy,12,8,,
Bach,043700b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/043700b_.npy,50,32,,
Bach,011407b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/011407b_.npy,23,15,,
Bach,017405b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/017405b_.npy,40,26,,
Bach,069000b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/069000b_.npy,64,41,,
Bach,008906b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/008906b_.npy,22,14,,
Bach,065000b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/065000b_.npy,103,66,,
Bach,029200b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/029200b_.npy,22,14,,
Bach,024805b1,Dataset/classifier/Bach/Bwv001- 400 Chorales/024805b1.npy,26,17,,
Bach,035200b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/035200b_.npy,25,16,,
Bach,Bwv010.7,Dataset/classifier/Bach/Bwv001- 400 Chorales/Bwv010.7.npy,34,22,,
Bach,008707b_,Dataset/classifier/Bach/Bwv001- 400 Chorales/008707b_.npy,29,19,,
